id,value
root,
root#degree_7.092964824120603_to_19.76961216055113,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0005242806415552206_to_0.0012603788592391487,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0005242806415552206_to_0.0012603788592391487#diversity_1.198849313_to_1.370412873,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0005242806415552206_to_0.0012603788592391487#diversity_1.198849313_to_1.370412873#betweenness_=_0.000469682,1
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0005242806415552206_to_0.0012603788592391487#diversity_1.370412873_to_1.541976433,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0005242806415552206_to_0.0012603788592391487#diversity_1.370412873_to_1.541976433#betweenness_=_0.003599005,1
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0027325752946070047_to_0.003468673512290933,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0027325752946070047_to_0.003468673512290933#diversity_=_1.70407034,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.0027325752946070047_to_0.003468673512290933#diversity_=_1.70407034#betweenness_=_0.014068789,1
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.001996477076923077_to_0.0027325752946070047,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.001996477076923077_to_0.0027325752946070047#diversity_1.2156266108276963_to_1.4782099376138482,
root#degree_7.092964824120603_to_19.76961216055113#peel_9.295744221630692_to_11.191488443261383#pagerank_label_0.001996477076923077_to_0.0027325752946070047#diversity_1.2156266108276963_to_1.4782099376138482#betweenness_=_0.002139778,1
